,Player,Squad,90s,Cmp,Att,Cmp%
0,Max Aarons,Norwich City,32.0,1087,1440,75.5
1,Yunis Abdelhamid,Reims,33.1,1281,1555,82.4
2,Salis Abdul Samed,Clermont Foot,27.4,1532,1671,91.7
3,Laurent Abergel,Lorient,32.8,1334,1635,81.6
4,Charles Abi,Saint-Étienne,0.5,2,6,33.3
5,Dickson Abiama,Greuther Fürth,8.1,90,139,64.7
6,Matthis Abline,Rennes,1.1,8,10,80.0
7,Tammy Abraham,Roma,34.3,500,694,72.0
8,Luis Abram,Granada,6.2,194,220,88.2
9,Francesco Acerbi,Lazio,28.2,1812,2006,90.3
10,Ragnar Ache,Eint Frankfurt,2.9,42,71,59.2
11,Mohamed Achi,Nantes,0.1,3,5,60.0
12,Marcos Acuña,Sevilla,25.1,1564,1971,79.4
13,Che Adams,Southampton,22.7,337,484,69.6
14,Tyler Adams,RB Leipzig,15.0,792,914,86.7
15,Sargis Adamyan,Hoffenheim,3.7,73,98,74.5
16,Martin Adeline,Reims,3.9,107,146,73.3
17,Amine Adli,Leverkusen,14.0,392,520,75.4
18,Yacine Adli,Bordeaux,25.1,910,1237,73.6
19,Michel Aebischer,Bologna,4.9,216,243,88.9
20,Felix Afena-Gyan,Roma,7.4,125,164,76.2
21,Martin Agirregabiria,Alavés,18.0,563,788,71.4
22,Julen Agirrezabala,Athletic Club,4.0,61,82,74.4
23,Lucien Agoume,Brest,20.8,828,981,84.4
24,Kevin Agudelo,Spezia,13.7,284,385,73.8
25,Nayef Aguerd,Rennes,30.4,1956,2174,90.0
26,Sergio Agüero,Barcelona,1.7,31,43,72.1
27,Ruben Aguilar,Monaco,23.8,1438,1715,83.8
28,Álvaro Aguirre,Rayo Vallecano,0.1,2,2,100.0
29,Naouirou Ahamada,Stuttgart,0.7,30,34,88.2
30,Anel Ahmedhodzic,Bordeaux,15.0,770,869,88.6
31,Jean-Eudes Aholou,Strasbourg,11.2,348,411,84.7
32,Joseph Aidoo,Celta Vigo,29.3,1263,1523,82.9
33,Ola Aina,Torino,16.0,546,757,72.1
34,Rayan Aït Nouri,Wolves,20.3,754,1003,75.2
35,Kristoffer Ajer,Brentford,22.2,629,873,72.1
36,Ludovic Ajorque,Strasbourg,30.4,670,909,73.7
37,Manuel Akanji,Dortmund,25.1,1801,1986,90.7
38,Carlos Akapo,Cádiz,20.5,630,849,74.2
39,Marley Aké,Juventus,0.9,13,17,76.5
40,Nathan Aké,Manchester City,10.3,780,855,91.2
41,Ilias Akhomach,Barcelona,1.4,45,53,84.9
42,Maghnes Akliouche,Monaco,0.6,20,22,90.9
43,Paul Akouokou,Betis,5.7,287,328,87.5
44,Jean-Daniel Akpa-Akpro,Lazio,3.5,92,113,81.4
45,Kevin Akpoguma,Hoffenheim,17.0,721,930,77.5
46,David Alaba,Real Madrid,29.4,1804,1967,91.7
47,Sofiane Alakouch,Metz,1.8,84,102,82.4
48,Tomás Alarcón,Cádiz,15.8,414,580,71.4
49,Lucas Alario,Leverkusen,7.3,106,155,68.4
50,Jordi Alba,Barcelona,29.4,2336,2770,84.3
51,Josué Albert,Clermont Foot,0.2,6,8,75.0
52,Luis Alberto,Lazio,26.1,1643,1976,83.1
53,Raúl Albiol,Villarreal,27.4,1337,1528,87.5
54,Marc Albrighton,Leicester City,12.6,345,551,62.6
55,Paco Alcácer,Villarreal,8.7,124,171,72.5
56,Thiago Alcántara,Liverpool,17.0,1325,1479,89.6
57,Rubén Alcaraz,Cádiz,12.3,551,654,84.3
58,Omar Alderete,Valencia,26.7,578,930,62.2
59,Iván Alejo,Cádiz,11.8,202,343,58.9
60,Doğan Alemdar,Rennes,12.0,286,392,73.0
61,Carles Aleñá,Getafe,25.8,689,860,80.1
62,Trent Alexander-Arnold,Liverpool,31.7,2013,2706,74.4
63,Mircea Alexandru Tirlea,Alavés,0.2,10,14,71.4
64,Mohamed Ali Cho,Angers,20.4,228,322,70.8
65,Alisson,Liverpool,36.0,1178,1360,86.6
66,Allan,Everton,24.3,757,967,78.3
67,Jim Allevinah,Clermont Foot,16.5,414,550,75.3
68,Dele Alli,Tottenham,7.3,167,214,78.0
69,Dele Alli,Everton,3.8,114,152,75.0
70,Miguel Almirón,Newcastle Utd,19.1,406,505,80.4
71,Marcos Alonso,Chelsea,24.1,1132,1456,77.7
72,Giorgio Altare,Cagliari,16.3,563,818,68.8
73,Hugo Álvarez,Celta Vigo,0.1,1,3,33.3
74,Yeray Álvarez,Athletic Club,20.7,825,996,82.8
75,Dani Alves,Barcelona,12.2,920,1083,84.9
76,Steven Alzate,Brighton,4.5,207,234,88.5
77,Ibrahim Amadou,Metz,9.0,386,440,87.7
78,Emmanuel Amankwaa Akurugu,Getafe,0.9,27,40,67.5
79,Daniel Amartey,Leicester City,23.6,1353,1475,91.7
80,Amath,Mallorca,9.8,166,211,78.7
81,Jordan Amavi,Nice,4.6,268,316,84.8
82,Jordan Amavi,Marseille,1.4,76,88,86.4
83,Wisdom Amey,Bologna,0.8,20,29,69.0
84,Kelvin Amian,Spezia,29.4,900,1137,79.2
85,Nadiem Amiri,Leverkusen,4.1,184,223,82.5
86,Nadiem Amiri,Genoa,7.6,227,307,73.9
87,Ethan Ampadu,Venezia,25.4,866,1154,75.0
88,Sofyan Amrabat,Fiorentina,10.5,642,711,90.3
89,Joachim Andersen,Crystal Palace,32.4,1812,2195,82.6
90,Felipe Anderson,Lazio,32.1,1108,1424,77.8
