,Player,Squad,90s,SCA,SCA90,PassLive,Drib
0,Lautaro Martínez,Inter,25.4,76,3.0,47,3
1,Lorenzo Pellegrini,Roma,25.4,135,5.31,54,9
2,Mohamed Salah,Liverpool,30.7,133,4.33,93,21
3,Kylian Mbappé,Paris S-G,33.6,172,5.12,107,28
4,Sadio Mané,Liverpool,31.3,97,3.1,67,5
5,João Pedro,Cagliari,36.9,80,2.17,51,4
6,Tammy Abraham,Roma,34.3,80,2.33,56,1
7,Robert Lewandowski,Bayern Munich,32.7,104,3.18,67,13
8,Lucas Paquetá,Lyon,30.0,117,3.9,76,14
9,Gaëtan Laborde,Rennes,30.3,73,2.41,55,2
10,João Cancelo,Manchester City,35.9,103,2.87,82,7
11,Joselu,Alavés,34.7,71,2.05,47,1
12,Armand Lauriente,Lorient,27.5,85,3.09,52,8
13,Harry Kane,Tottenham,35.9,117,3.26,86,10
14,Olivier Giroud,Milan,21.0,50,2.38,31,2
15,Duván Zapata,Atalanta,19.1,79,4.13,55,10
16,Christopher Nkunku,RB Leipzig,30.3,134,4.43,84,15
17,Michail Antonio,West Ham,33.0,102,3.09,65,13
18,Sergej Milinković-Savić,Lazio,34.4,110,3.19,84,5
19,Patrik Schick,Leverkusen,23.1,49,2.12,31,5
20,Lorenzo Insigne,Napoli,25.4,113,4.44,78,4
21,Nicolás González,Fiorentina,26.2,89,3.4,54,4
22,Ivan Toney,Brentford,32.3,80,2.48,53,4
23,Lionel Messi,Paris S-G,23.9,144,6.02,103,15
24,Flavien Tait,Rennes,23.6,84,3.56,60,4
25,Raphinha,Leeds United,32.4,119,3.67,66,13
26,Anthony Modeste,Köln,29.0,39,1.35,24,1
27,Houssem Aouar,Lyon,27.8,102,3.67,74,9
28,André Silva,RB Leipzig,23.1,47,2.04,29,4
29,Erling Haaland,Dortmund,21.2,55,2.59,39,4
30,Vincenzo Grifo,Freiburg,30.8,130,4.22,69,3
31,Walace,Udinese,33.0,66,2.0,50,2
32,Leroy Sané,Bayern Munich,22.0,99,4.51,72,5
33,Ciro Immobile,Lazio,30.1,70,2.32,53,4
34,James Maddison,Leicester City,27.3,100,3.66,56,9
35,Nicolò Zaniolo,Roma,21.9,81,3.7,47,11
36,Ludovic Blas,Nantes,32.9,93,2.83,65,7
37,Emmanuel Dennis,Watford,28.7,91,3.17,54,17
38,Wilfried Zaha,Crystal Palace,30.7,104,3.39,73,14
39,Amine Gouiri,Nice,30.6,122,3.99,69,15
40,Martin Terrier,Rennes,30.9,99,3.21,72,6
41,Joelinton,Newcastle Utd,28.4,64,2.25,44,3
42,Son Heung-min,Tottenham,33.4,129,3.86,75,4
43,Enis Bardhi,Levante,18.9,75,3.97,40,2
44,Andrej Kramarić,Hoffenheim,30.1,84,2.79,61,3
45,Davide Zappacosta,Atalanta,26.1,77,2.96,52,6
46,Jarrod Bowen,West Ham,33.1,95,2.87,53,8
47,Thomas Müller,Bayern Munich,28.4,139,4.89,122,1
48,Mason Mount,Chelsea,26.3,111,4.23,72,5
49,Marko Arnautović,Bologna,29.9,82,2.74,64,6
50,Marco Asensio,Real Madrid,19.2,65,3.38,41,3
51,Miguel Almirón,Newcastle Utd,19.1,45,2.36,31,3
52,Filip Kostić,Eint Frankfurt,28.0,130,4.64,68,1
53,Vinicius Júnior,Real Madrid,29.9,170,5.69,119,21
54,Enes Ünal,Getafe,31.1,69,2.22,41,5
55,Lucas Höler,Freiburg,28.7,85,2.96,64,1
56,Stephy Mavididi,Montpellier,25.5,65,2.54,35,9
57,Conor Gallagher,Crystal Palace,31.6,89,2.82,44,3
58,Bukayo Saka,Arsenal,33.1,142,4.29,94,12
59,Richarlison,Everton,28.0,62,2.21,43,1
60,Gerson,Marseille,28.3,75,2.65,52,5
61,Ludovic Ajorque,Strasbourg,30.4,75,2.47,55,2
62,Andrea Pinamonti,Empoli,31.9,64,2.01,42,3
63,Gianluca Caprari,Hellas Verona,30.4,134,4.4,92,6
64,Alexander Isak,Real Sociedad,23.8,60,2.52,35,9
65,Rafael Leão,Milan,28.9,105,3.63,63,24
66,Donyell Malen,Dortmund,18.7,53,2.83,34,4
67,Ruslan Malinovskyi,Atalanta,17.7,89,5.03,50,6
68,Dušan Vlahović,Fiorentina,20.6,54,2.62,35,5
69,Patrick Wimmer,Arminia,22.8,80,3.51,37,10
70,Henrikh Mkhitaryan,Roma,27.7,85,3.07,62,5
71,Rafael Borré,Eint Frankfurt,26.4,63,2.38,43,6
72,Bernardo Silva,Manchester City,31.7,126,3.97,99,11
73,Iago Aspas,Celta Vigo,34.3,113,3.29,89,4
74,Raúl Jiménez,Wolves,29.2,67,2.29,47,4
75,Gerard Deulofeu,Udinese,29.1,137,4.71,82,7
76,Luis Rioja,Alavés,34.6,82,2.37,49,13
77,Milan Đurić,Salernitana,24.1,56,2.33,43,1
78,Ollie Watkins,Aston Villa,32.8,72,2.2,51,6
79,Bruno Fernandes,Manchester Utd,34.6,145,4.19,109,4
80,Gabriel Jesus,Manchester City,20.9,78,3.74,52,13
81,Denis Bouanga,Saint-Étienne,27.1,85,3.14,45,18
82,Florian Sotoca,Lens,27.6,68,2.47,49,5
83,Federico Bernardeschi,Juventus,16.4,52,3.17,35,3
84,Renaud Ripart,Troyes,21.0,42,2.0,29,3
85,Branimir Hrgota,Greuther Fürth,30.9,71,2.3,42,10
86,Martinelli,Arsenal,20.7,70,3.39,47,8
87,Omar Marmoush,Stuttgart,17.5,73,4.18,37,9
88,Martin Ødegaard,Arsenal,30.9,134,4.33,105,6
89,Taiwo Awoniyi,Union Berlin,24.2,55,2.28,40,5
90,Adnan Januzaj,Real Sociedad,18.1,66,3.66,34,5
91,Mikel Oyarzabal,Real Sociedad,18.6,63,3.39,33,4
92,Rubén García,Osasuna,26.4,89,3.37,47,2
93,Federico Dimarco,Inter,15.9,81,5.1,40,3
94,Bryan Cristante,Roma,29.8,49,1.65,39,0
95,Beto,Udinese,24.1,47,1.95,31,7
96,Daniele Verde,Spezia,21.7,72,3.31,40,4
97,Max Kruse,Union Berlin,14.1,55,3.9,39,2
98,Joël Matip,Liverpool,31.0,34,1.1,26,0
99,Pontus Jansson,Brentford,36.9,15,0.41,7,0
100,Konstantinos Mavropanos,Stuttgart,30.1,25,0.83,12,1
101,Randal Kolo Muani,Nantes,32.8,81,2.47,53,7
102,Dani Rodríguez,Mallorca,31.5,85,2.7,51,4
103,Dwight McNeil,Burnley,34.5,97,2.81,52,5
104,Alassane Pléa,M'Gladbach,23.0,107,4.65,82,6
105,Andrea Belotti,Torino,15.2,38,2.49,19,3
106,Iñaki Williams,Athletic Club,30.9,68,2.2,48,4
107,Cengiz Ünder,Marseille,24.4,83,3.4,52,2
108,Sandro Ramírez,Getafe,16.2,53,3.26,29,7
109,Daniel James,Leeds United,26.3,53,2.02,36,3
110,Franck Honorat,Brest,32.2,119,3.69,70,13
111,Nicolò Barella,Inter,32.4,131,4.05,105,10
112,Wahbi Khazri,Saint-Étienne,24.7,69,2.79,45,6
113,Grigoris Kastanos,Salernitana,15.0,60,4.01,29,5
114,Anthony Lozano,Cádiz,18.6,36,1.94,20,3
