,Player▲,Squad,90s,Gls,Ast,G+A,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90
0,Max Aarons,Norwich City,32.0,0,2,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.06,0.02,0.06
1,Yunis Abdelhamid,Reims,33.1,2,0,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06
2,Salis Abdul Samed,Clermont Foot,27.4,1,0,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07
3,Laurent Abergel,Lorient,32.8,0,2,0.06,2.0,2.0,2.9,4.9,0.06,0.09,0.15,0.06,0.15
4,Charles Abi,Saint-Étienne,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,Greuther Fürth,8.1,0,1,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41
6,Matthis Abline,Rennes,1.1,0,0,0.0,0.3,0.3,0.0,0.4,0.3,0.03,0.32,0.3,0.32
7,Tammy Abraham,Roma,34.3,17,4,0.61,20.5,18.3,3.6,21.8,0.6,0.1,0.7,0.53,0.64
8,Luis Abram,Granada,6.2,0,0,0.0,0.5,0.5,0.0,0.5,0.08,0.0,0.08,0.08,0.08
9,Francesco Acerbi,Lazio,28.2,4,0,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09
10,Ragnar Ache,Eint Frankfurt,2.9,0,1,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29
11,Mohamed Achi,Nantes,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Marcos Acuña,Sevilla,25.1,1,3,0.16,1.4,1.4,3.0,4.4,0.06,0.12,0.18,0.06,0.18
13,Che Adams,Southampton,22.7,7,3,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43
14,Tyler Adams,RB Leipzig,15.0,0,1,0.07,0.2,0.2,0.8,1.0,0.01,0.05,0.07,0.01,0.07
15,Sargis Adamyan,Hoffenheim,3.7,1,0,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32
16,Martin Adeline,Reims,3.9,0,0,0.0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21
