Player,Squad,Gls,xG,delta
Kevin De Bruyne,Manchester City,15,6.4,8.6
Wissam Ben Yedder,Monaco,25,17.2,7.8
Martin Terrier,Rennes,21,13.6,7.4
Son Heung-min,Tottenham,23,16.2,6.8
Giovanni Simeone,Hellas Verona,17,10.7,6.3
Patrik Schick,Leverkusen,24,17.8,6.2
Enes Ünal,Getafe,16,10.2,5.8
Jamie Vardy,Leicester City,15,9.5,5.5
Gianluca Scamacca,Sassuolo,16,10.8,5.2
Christopher Nkunku,RB Leipzig,20,14.8,5.2
Ciro Immobile,Lazio,27,22.2,4.8
Kylian Mbappé,Paris S-G,28,23.4,4.6
Erling Haaland,Dortmund,22,17.6,4.4
Dušan Vlahović,Fiorentina,17,12.7,4.3
Juanmi,Betis,16,11.8,4.2
