player,90s,sca90,goals,assists,gi,gi90
Dimitri Payet,28.8,6.53,12,10,22,0.76
Lionel Messi,23.9,6.02,6,14,20,0.84
Neymar,20.6,5.98,13,6,19,0.92
Luis Muriel,17.1,5.85,9,8,17,0.99
Vinicius Júnior,29.9,5.69,17,10,27,0.90
Kevin De Bruyne,24.5,5.68,15,8,23,0.94
Jonas Hofmann,23.1,5.59,12,5,17,0.74
Iker Muniain,30.9,5.56,4,10,14,0.45
Hakan Çalhanoğlu,27.6,5.48,7,12,19,0.69
Lorenzo Pellegrini,25.4,5.31,9,3,12,0.47
Ousmane Dembélé,15.7,5.24,1,13,14,0.89
Ángel Di María,18.3,5.2,5,7,12,0.66
Nabil Fekir,31,5.19,6,8,14,0.45
Jack Grealish,21.3,5.17,3,3,6,0.28
Kylian Mbappé,33.6,5.12,28,17,45,1.34
Federico Dimarco,15.9,5.1,2,3,5,0.31
Christian Eriksen,10.4,5.08,1,4,5,0.48
Ruslan Malinovskyi,17.7,5.03,6,5,11,0.62
Florian Wirtz,20.6,4.96,7,10,17,0.83
Joshua Kimmich,27.5,4.91,3,9,12,0.44
Thomas Müller,28.4,4.89,8,18,26,0.92
Benjamin Bourigeaud,35.5,4.79,11,12,23,0.65
Sofiane Boufal,25.9,4.79,8,4,12,0.46
Callum Hudson-Odoi,10.7,4.77,1,2,3,0.28
David Silva,19.1,4.76,2,4,6,0.31
Trent Alexander-Arnold,31.7,4.73,2,12,14,0.44
Gerard Deulofeu,29.1,4.71,13,5,18,0.62
Óscar Trejo,22.3,4.71,3,9,12,0.54
Domenico Berardi,31.3,4.69,15,14,29,0.93
Alassane Pléa,23,4.65,10,6,16,0.70
Filip Kostić,28,4.64,4,9,13,0.46
Luis Díaz,10.6,4.6,4,3,7,0.66
Téji Savanier,26.8,4.55,8,7,15,0.56
Leroy Sané,22,4.51,7,7,14,0.64
Lorenzo Insigne,25.4,4.44,11,8,19,0.75
Christopher Nkunku,30.3,4.43,20,13,33,1.09
Gianluca Caprari,30.4,4.4,12,7,19,0.63
Serge Gnabry,24.3,4.37,14,5,19,0.78
Hakim Ziyech,14.7,4.37,4,3,7,0.48
Renato Sanches,18.3,4.36,2,5,7,0.38
Mohamed Salah,30.7,4.33,23,13,36,1.17
Martin Ødegaard,30.9,4.33,7,4,11,0.36
Dominik Szoboszlai,17.1,4.32,6,8,14,0.82
Karim Benzema,28.8,4.3,27,12,39,1.35
David Pereira da Costa,16.3,4.3,3,5,8,0.49
Bukayo Saka,33.1,4.29,11,7,18,0.54
Nedim Bajrami,22.8,4.29,6,5,11,0.48
Luis Alberto,26.1,4.28,5,9,14,0.54
Lovro Majer,20.4,4.27,6,8,14,0.69
Mason Mount,26.3,4.23,11,10,21,0.80
Vincenzo Grifo,30.8,4.22,9,7,16,0.52
Matteo Politano,18.3,4.2,3,4,7,0.38
Bruno Fernandes,34.6,4.19,10,6,16,0.46
David Raum,30.6,4.18,3,11,14,0.46
Jamal Musiala,16.3,4.18,5,5,10,0.61
Paulo Dybala,22.9,4.15,10,5,15,0.66
Duván Zapata,19.1,4.13,10,4,14,0.73
Dries Mertens,15.4,4.1,11,1,12,0.78
