Player,Squad,90s,GSAA%,Stp%,Cmp%,Launch%,AvgLen,#OPA/90,AvgDist
Alisson,Liverpool,36,4.54,9.5,54.2,22.5,29.9,1.75,18.1
Emil Audero,Sampdoria,28.4,-3.05,9.3,43.5,45.7,39.8,0.42,13.3
Édgar Badía,Elche,24,5.09,8.7,45.2,50.5,39.7,0.96,15.8
Oliver Baumann,Hoffenheim,33,-1.17,9.2,37.1,30.2,32.4,1.3,15.9
Vid Belec,Salernitana,21.5,-5.97,4.7,42.7,55.5,44.2,0.37,12.8
Walter Benítez,Nice,37,3.48,4.8,40.7,35.7,33.9,0.59,14.2
Paul Bernardoni,Saint-Étienne,19,-3.56,12.1,29.7,52.8,41.2,1.63,16.2
Paul Bernardoni,Saint-Étienne,19,-5.52,12.7,45.1,32.6,35.2,0.54,14.5
Marco Bizot,Brest,38,-3.55,6.8,47.5,48.5,41.1,0.63,14.5
Yassine Bounou,Sevilla,31,4.90,8.2,43.6,34.9,35.8,0.52,14.2
Marc-Aurèle Caillard,Metz,17.1,0.12,3.5,38.8,50,43.3,0.47,14.1
Cárdenas,Levante,24,-3.74,5.1,34.7,46.2,40.1,0.63,13.9
Koen Casteels,Wolfsburg,28,0.27,7.2,49.5,37.7,35.6,0.75,13.9
Leonardo César Jardim,Lille,17,-4.84,6.4,34.2,48.1,39.3,0.76,15.4
Andrea Consigli,Sassuolo,36.9,-0.19,6,47.7,37,34.5,0.62,13.3
Benoît Costil,Bordeaux,25,-10.16,6.6,45,48.2,39.8,1.04,16.9
Thibaut Courtois,Real Madrid,36,3.79,8.7,37.3,23.5,31.2,0.58,14.2
Alessio Cragno,Cagliari,35,-0.60,7.5,43.8,59.5,44,0.54,14.9
Stole Dimitrievski,Rayo Vallecano,30.8,2.59,9.6,33.9,59.8,47.5,0.55,12.9
Matías Dituro,Celta Vigo,38,4.38,14.7,40.6,55.1,44.5,0.87,15.6
Ouparine Djoco,Clermont Foot,23.5,-3.96,8.2,33.9,42.7,37.3,0.77,14.6
Gianluigi Donnarumma,Paris S-G,17,2.50,5.5,55.6,14.4,24.1,1.29,17.2
Martin Dúbravka,Newcastle Utd,26,3.87,8.1,42.4,50,41.1,0.35,12.7
Ederson,Manchester City,37,-1.45,8.8,59.2,24,30,0.92,17.2
Łukasz Fabiański,West Ham,37,3.08,4.1,40,55.8,44.1,0.24,11.8
Mark Flekken,Freiburg,32,0.29,6.2,41.7,47,42.6,0.94,15.7
Fraser Forster,Southampton,19,-1.22,10.2,34.4,54.9,44.8,0.74,13.8
Ben Foster,Watford,26,-4.14,6,34.1,71.3,51.4,0.92,15.1
Gauthier Gallon,Troyes,31,-2.03,6.7,42.4,45.3,38.3,0.52,13
David de Gea,Manchester Utd,38,3.79,3.3,36.7,37,35.2,0.24,13.6
Rafał Gikiewicz,Augsburg,34,-0.99,6.5,39.8,48.8,40.5,1,15.9
Alfred Gomis,Rennes,25,-1.77,6.7,46.5,36.2,34.4,0.64,14.7
Ivo Grbić,Lille,21,0.23,10.3,38.3,44.6,38.7,0.62,14.5
Vicente Guaita,Crystal Palace,29.5,-3.10,7.4,45.3,35.4,33,0.58,14.5
Péter Gulácsi,RB Leipzig,33,1.50,3.6,41.5,30.1,32.3,1.3,17.9
Samir Handanović,Inter,37,2.15,5.9,53.9,30.5,30.5,0.11,12.2
Sergio Herrera,Osasuna,36,-1.62,5.7,46.7,73,53,1.19,15.6
Lukáš Hrádecký,Leverkusen,32,0.92,5.8,40.6,35.2,34.3,0.78,15.1
Gregor Kobel,Dortmund,28.5,-1.14,10.6,37.2,24.4,30.2,0.95,15.6
Tim Krul,Norwich City,29,-1.71,3.9,38.6,44.8,39.4,0.34,12.5
Alban Lafont,Nantes,38,-0.67,8,34.8,48.7,42.9,0.74,15.2
Jean-Louis Leca,Lens,25.7,-2.98,11,42.2,37.9,34.7,0.62,13.6
Jeremías Ledesma,Cádiz,38,0.69,9,36.2,68,52.1,0.61,13.7
