Player,Squad,90s,PSxG+/-,/90,team_id
Illan Meslier,Leeds United,37.6,-7.3,-0.19,8463
Ben Foster,Watford,26,-4.6,-0.18,9817
Emiliano Martínez,Aston Villa,36,-5.1,-0.14,10252
Aaron Ramsdale,Arsenal,34,-4.3,-0.13,9825
Vicente Guaita,Crystal Palace,29.5,-3.5,-0.12,9826
Tim Krul,Norwich City,29,-2.7,-0.09,9850
Fraser Forster,Southampton,19,-1.2,-0.06,8466
Ederson,Manchester City,37,-1.2,-0.03,8456
Kasper Schmeichel,Leicester City,37,-0.7,-0.02,8197
Hugo Lloris,Tottenham,38,-0.2,-0.01,8586
Edouard Mendy,Chelsea,34,-0.4,-0.01,8455
Jordan Pickford,Everton,35,-0.2,-0.01,8668
David Raya,Brentford,24,0.5,0.02,9937
Robert Sánchez,Brighton,37,1.2,0.03,10204
Alisson,Liverpool,36,4.4,0.12,8650
Nick Pope,Burnley,36,4.4,0.12,8191
Łukasz Fabiański,West Ham,37,4.8,0.13,8654
Martin Dúbravka,Newcastle Utd,26,4.1,0.16,10261
David de Gea,Manchester Utd,38,6.7,0.18,10260
José Sá,Wolves,36.5,9.2,0.25,8602
