player_id,player,team,position,minute,location,dribble_outcome
13322,Greg Stewart,Jamshedpur,Right Wing,24,"{92.7,35.0}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,0,"{104.6,13.4}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,2,"{99.5,8.5}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,2,"{109.6,5.3}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,12,"{57.4,11.1}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,12,"{107.8,22.4}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,13,"{102.9,12.1}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,30,"{108.7,30.3}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,31,"{101.9,9.8}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,48,"{107.2,49.4}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,48,"{96.5,65.5}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,50,"{112.4,4.1}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,54,"{68.2,17.5}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,55,"{101.0,18.8}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,63,"{103.1,48.5}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,66,"{92.7,18.2}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,67,"{107.9,7.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,70,"{113.2,22.3}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Midfield,78,"{100.1,17.8}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,90,"{90.9,22.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,94,"{89.8,2.7}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,41,"{45.8,72.9}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,62,"{53.8,2.1}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,71,"{115.4,72.8}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,3,"{113.6,69.3}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,10,"{103.1,12.9}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,11,"{108.6,17.0}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,1,"{93.7,2.1}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,22,"{104.4,58.6}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,35,"{67.8,76.1}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,37,"{116.8,60.1}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,49,"{60.1,30.3}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,54,"{108.1,22.8}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,63,"{106.4,5.9}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,89,"{64.4,20.7}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,51,"{108.7,22.9}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,64,"{108.7,19.7}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Left Defensive Midfield,14,"{60.0,2.5}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Left Center Midfield,66,"{62.3,39.0}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Left Center Midfield,67,"{57.0,17.4}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Midfield,21,"{104.0,23.2}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Midfield,22,"{83.2,24.2}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Center Midfield,34,"{103.5,49.9}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,46,"{108.4,14.2}",Complete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,58,"{69.5,3.9}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,58,"{67.8,6.6}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,39,"{85.2,75.4}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,45,"{57.0,27.3}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,67,"{115.0,9.7}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,81,"{61.3,3.5}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,4,"{62.9,77.3}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,5,"{103.9,32.7}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,9,"{81.1,22.6}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,41,"{105.2,30.1}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,43,"{87.2,64.6}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,43,"{116.6,67.9}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,62,"{72.7,52.0}",Complete
8150,Francisco Javier Hernández González,Odisha,Center Forward,74,"{88.8,53.9}",Complete
8150,Francisco Javier Hernández González,Odisha,Left Defensive Midfield,90,"{81.7,5.3}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,5,"{104.4,14.6}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,16,"{101.5,55.0}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,21,"{72.1,34.3}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,21,"{91.5,48.0}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,37,"{103.0,30.0}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,21,"{113.4,17.7}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,26,"{105.7,18.5}",Incomplete
124907,Liston Colaco,ATK Mohun Bagan,Left Wing,47,"{57.2,19.6}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,68,"{107.5,16.0}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Right Wing,68,"{107.0,19.4}",Incomplete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,84,"{67.2,22.8}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,87,"{61.6,74.8}",Complete
163342,Hugo Adnan Boumous,ATK Mohun Bagan,Center Attacking Midfield,92,"{45.6,74.8}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,22,"{34.5,32.1}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,27,"{112.7,32.7}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,38,"{105.1,33.1}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,42,"{78.1,73.9}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,67,"{43.0,75.7}",Incomplete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,72,"{79.7,46.9}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,85,"{76.0,39.4}",Complete
159764,Jorge Ortiz Mendoza,Goa,Center Forward,94,"{91.3,53.8}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,6,"{88.8,58.7}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,6,"{105.3,51.6}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,16,"{90.8,45.7}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,36,"{90.5,66.7}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,36,"{73.7,7.4}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Center Attacking Midfield,40,"{43.9,21.0}",Complete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,48,"{110.4,62.2}",Incomplete
13322,Greg Stewart,Jamshedpur,Center Attacking Midfield,58,"{52.2,26.9}",Incomplete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Left Center Midfield,70,"{75.9,67.6}",Complete
159765,Cássio Gabriel Vilela Ferreira,Mumbai City,Left Center Midfield,70,"{67.2,75.2}",Incomplete
8150,Francisco Javier Hernández González,Odisha,Center Attacking Midfield,6,"{37.7,57.7}",Incomplete
