player,team,position,x,y
Aniket Anil Jadhav,Hyderabad,Left Midfield,80.5,19.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,29.6,54.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,33.6,60.5
Asish Rai,Hyderabad,Right Back,11.6,56.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,92.4,23.1
Asish Rai,Hyderabad,Right Back,28.3,67.7
Marko Lešković,Kerala Blasters,Left Center Back,37.3,23.9
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,39.0,21.3
Mohammad Yasir,Hyderabad,Right Midfield,81.1,61.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,66.8,12.1
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,76.0,22.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,70.4,7.4
Soraisham Sandeep Singh,Kerala Blasters,Left Back,64.4,5.9
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,38.3,12.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,27.2,7.7
Mohammad Yasir,Hyderabad,Right Midfield,49.7,69.9
Aniket Anil Jadhav,Hyderabad,Left Midfield,46.3,3.4
Akash Mishra,Hyderabad,Left Back,33.6,4.0
Hormipam Ruivah,Kerala Blasters,Right Center Back,55.2,44.9
Mohammad Yasir,Hyderabad,Right Midfield,62.5,53.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,59.3,7.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,52.9,58.3
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,52.2,72.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,94.2,68.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,70.2,26.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,59.9,67.8
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,54.2,47.4
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,82.0,40.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,81.8,39.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,69.8,16.0
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,30.0,74.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,74.1,71.8
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,87.7,68.2
Asish Rai,Hyderabad,Right Back,34.9,70.9
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,92.0,67.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,76.4,58.6
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,78.3,59.6
Aniket Anil Jadhav,Hyderabad,Left Midfield,62.1,14.1
Juan Antonio González Fernández,Hyderabad,Left Center Back,7.1,22.4
Akash Mishra,Hyderabad,Left Back,11.2,4.4
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,54.6,65.0
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,53.9,68.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,46.0,72.3
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,48.4,60.1
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,55.2,45.1
Mohammad Yasir,Hyderabad,Right Midfield,103.2,69.2
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,47.3,8.7
Asish Rai,Hyderabad,Right Back,20.2,67.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,93.5,21.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,92.2,23.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,73.2,60.1
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,70.6,67.3
Joel Joseph Chianese,Hyderabad,Right Center Forward,61.7,11.9
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,49.3,54.1
Marko Lešković,Kerala Blasters,Left Center Back,53.1,41.9
Mohammad Yasir,Hyderabad,Right Midfield,89.5,51.7
Joel Joseph Chianese,Hyderabad,Right Center Forward,97.0,60.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,42.4,45.3
Marko Lešković,Kerala Blasters,Left Center Back,39.2,52.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,38.3,24.6
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,56.3,5.9
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,104.2,42.7
Joel Joseph Chianese,Hyderabad,Right Center Forward,68.5,23.2
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,68.3,69.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,64.9,53.4
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,57.4,19.2
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,91.4,60.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,77.0,20.7
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,97.2,16.9
Mohammad Yasir,Hyderabad,Right Midfield,72.8,68.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,53.9,17.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,81.5,75.9
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,104.0,46.4
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,96.9,76.1
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,43.1,17.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,88.8,9.8
Hormipam Ruivah,Kerala Blasters,Right Center Back,40.0,16.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,33.0,9.6
Asish Rai,Hyderabad,Right Back,66.2,69.2
Asish Rai,Hyderabad,Right Back,33.4,66.5
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,78.5,72.9
Asish Rai,Hyderabad,Right Back,82.2,76.5
Hormipam Ruivah,Kerala Blasters,Right Center Back,35.3,49.8
Aniket Anil Jadhav,Hyderabad,Left Midfield,77.5,24.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,93.1,53.9
Hormipam Ruivah,Kerala Blasters,Right Center Back,61.9,60.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,21.9,41.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,23.1,47.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,53.1,32.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,8.6,11.9
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,35.3,76.5
Asish Rai,Hyderabad,Right Back,8.6,50.8
Javier Siverio Toro,Hyderabad,Right Center Forward,99.1,30.9
Asish Rai,Hyderabad,Right Back,45.6,70.1
Asish Rai,Hyderabad,Right Back,36.2,66.0
Asish Rai,Hyderabad,Right Back,41.8,70.3
Asish Rai,Hyderabad,Right Back,21.9,66.5
Juan Antonio González Fernández,Hyderabad,Left Center Back,23.6,13.4
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,96.1,70.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,86.0,53.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,81.1,11.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,38.5,12.8
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,57.4,31.7
Konsham Chinglensana Singh,Hyderabad,Right Center Back,51.5,40.1
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,54.3,28.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,44.6,11.0
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,80.6,13.9
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,91.9,68.3
Aniket Anil Jadhav,Hyderabad,Left Midfield,36.6,8.6
Javier Siverio Toro,Hyderabad,Right Center Forward,46.7,15.3
Mohammad Yasir,Hyderabad,Right Midfield,49.8,76.4
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,42.9,68.2
Asish Rai,Hyderabad,Right Back,39.0,66.9
Mohammad Yasir,Hyderabad,Right Midfield,31.3,51.9
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,26.4,52.9
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,85.4,28.1
Hormipam Ruivah,Kerala Blasters,Right Center Back,77.0,30.0
Soraisham Sandeep Singh,Kerala Blasters,Left Back,38.6,20.1
Aniket Anil Jadhav,Hyderabad,Left Midfield,89.4,59.7
Akash Mishra,Hyderabad,Left Back,113.5,72.0
Aniket Anil Jadhav,Hyderabad,Left Midfield,115.2,73.4
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,62.7,61.3
Soraisham Sandeep Singh,Kerala Blasters,Left Back,13.2,2.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,33.5,8.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,29.7,12.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,22.0,66.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,70.0,9.3
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,64.0,18.4
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,69.2,15.7
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,63.3,47.4
Marko Lešković,Kerala Blasters,Left Center Back,16.3,6.9
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,24.7,3.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,30.9,12.2
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,57.8,64.5
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,53.8,64.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,51.4,60.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,79.7,49.1
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,71.6,56.2
Harmanjot Singh Khabra,Kerala Blasters,Right Back,49.7,70.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,47.6,51.6
Halicharan Narzary,Hyderabad,Left Midfield,68.1,13.9
Mohammad Yasir,Hyderabad,Right Midfield,68.9,63.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,43.9,18.8
Hormipam Ruivah,Kerala Blasters,Right Center Back,56.7,68.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,52.9,53.3
Harmanjot Singh Khabra,Kerala Blasters,Right Back,12.6,62.0
Akash Mishra,Hyderabad,Left Back,101.9,8.6
Javier Siverio Toro,Hyderabad,Right Center Forward,104.8,73.4
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,57.5,2.5
Konsham Chinglensana Singh,Hyderabad,Right Center Back,20.5,76.7
Asish Rai,Hyderabad,Right Back,48.0,66.9
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,49.1,63.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,103.9,70.3
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,72.8,40.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,72.4,37.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,58.1,12.8
Marko Lešković,Kerala Blasters,Left Center Back,20.6,25.0
Hormipam Ruivah,Kerala Blasters,Right Center Back,10.4,26.2
Akash Mishra,Hyderabad,Left Back,49.5,7.2
Aniket Anil Jadhav,Hyderabad,Left Midfield,50.4,4.3
Aniket Anil Jadhav,Hyderabad,Left Midfield,55.6,6.4
Aniket Anil Jadhav,Hyderabad,Left Midfield,55.2,9.8
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,64.9,62.3
Aniket Anil Jadhav,Hyderabad,Left Midfield,66.8,19.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,72.7,14.3
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,41.8,51.4
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,76.3,29.7
Javier Siverio Toro,Hyderabad,Right Center Forward,81.4,39.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,86.7,6.2
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,76.2,13.6
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,40.0,73.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,75.1,29.7
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,63.8,42.2
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,66.5,47.7
Mohammad Yasir,Hyderabad,Right Midfield,62.8,70.1
Javier Siverio Toro,Hyderabad,Right Center Forward,113.3,40.4
Akash Mishra,Hyderabad,Left Back,54.7,3.2
Asish Rai,Hyderabad,Right Back,9.3,73.6
Javier Siverio Toro,Hyderabad,Right Center Forward,58.4,78.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,57.1,23.6
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,59.6,37.7
Harmanjot Singh Khabra,Kerala Blasters,Right Back,42.8,72.1
Aniket Anil Jadhav,Hyderabad,Left Midfield,103.7,15.0
Aniket Anil Jadhav,Hyderabad,Left Midfield,109.4,13.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,12.6,41.7
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,97.2,40.4
Aniket Anil Jadhav,Hyderabad,Left Midfield,95.7,31.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,30.6,48.8
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,23.9,45.3
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,105.1,54.4
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,84.9,20.6
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,75.3,75.2
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,69.2,7.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,61.0,7.6
Javier Siverio Toro,Hyderabad,Right Center Forward,92.3,61.7
Hormipam Ruivah,Kerala Blasters,Right Center Back,17.7,41.7
Harmanjot Singh Khabra,Kerala Blasters,Right Back,16.4,37.5
Hormipam Ruivah,Kerala Blasters,Right Center Back,14.6,70.9
Halicharan Narzary,Hyderabad,Left Midfield,68.9,10.8
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,74.6,13.3
Asish Rai,Hyderabad,Right Back,73.9,74.3
Mohammad Yasir,Hyderabad,Right Midfield,75.3,76.7
Mohammad Yasir,Hyderabad,Right Midfield,46.2,70.4
Mohammad Yasir,Hyderabad,Right Midfield,46.9,70.5
Álvaro Vázquez García,Kerala Blasters,Left Center Forward,89.2,12.4
Aniket Anil Jadhav,Hyderabad,Left Midfield,57.4,49.2
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,61.0,58.2
Akash Mishra,Hyderabad,Left Back,52.9,28.9
Akash Mishra,Hyderabad,Left Back,51.5,27.3
Jorge Rolando Pereyra Díaz,Kerala Blasters,Right Center Forward,68.2,35.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,44.2,37.7
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,15.9,67.6
Javier Siverio Toro,Hyderabad,Right Center Forward,104.2,29.9
