team,def%,mid%,att%
Odisha,34.8462115528882221,46.2865716429107277,18.8672168042010503
Bengaluru,29.7677959649790636,45.8698134754472783,24.3623905595736582
East Bengal,35.3906762967826658,45.8962573867367039,18.7130663164806303
Chennaiyin,39.0580736543909348,42.8824362606232295,18.0594900849858357
Mumbai City,32.8061638280616383,45.2554744525547445,21.9383617193836172
NorthEast United,32.8258447827701448,46.7508354994430004,20.4233197177868548
Hyderabad,30.4780237407763876,45.1395572666025024,24.3824189926211100
Kerala Blasters,31.3147160338876687,46.0621273925321619,22.6231565735801694
Goa,30.9734513274336283,42.7594529364440869,26.2670957361222848
ATK Mohun Bagan,30.5932809149392423,47.0693352394567548,22.3373838456040029
Jamshedpur,26.5614938828074694,48.2936252414681262,25.1448808757244044
