match,type,ars,che,mci,mun,lei,avl,bha,eve,whu,rea,tot
1,ga,0.4,0.1,0,0.4,3.5,1.7,1.9,1.5,0.7,2.9,0.2
2,ga,0.6,0.4,0.3,0.8,6.6,2.9,2.4,1.7,2.7,4.2,1.5
3,ga,0.7,0.5,0.4,1.4,9.2,3.4,3.6,3.6,3.3,7.2,3.3
4,ga,0.8,1.0,1.8,1.6,9.9,5.4,4.2,6.2,5.4,9.4,4.5
5,ga,1.9,1.6,1.8,2.0,11.0,8.5,7.5,6.9,6.6,10.6,6.0
6,ga,2.4,3.6,2.1,3.4,11.3,9.0,8.1,7.3,7.2,13.4,6.6
7,ga,2.7,4.5,3.5,3.4,12.7,9.7,11.6,8.7,8.4,15.7,6.9
8,ga,2.8,4.7,4.9,4.0,13.0,10.5,13.0,8.9,10.9,17.5,8.4
9,ga,3.5,5.4,5.1,4.4,16.3,11.5,14.5,11.2,13.0,19.6,8.9
10,ga,4.2,6.4,5.2,4.7,17.1,12.3,16.5,11.9,14.4,21.2,9.8
