match,type,ars,che,mci,mun,lei,avl,bha,eve,whu,rea,tot
1,gf,1.9,3,2.2,0.5,0.4,0.4,0.4,0.4,0.5,0.1,0.5
2,gf,5.0,4.3,4.2,2.0,0.6,1.7,1.1,2.0,0.8,1.3,0.8
3,gf,6.9,6.1,6.8,3.2,0.7,1.9,1.7,2.1,3.0,1.4,0.9
4,gf,10.0,8.1,10.1,5.2,1.9,2.1,2.9,3.3,3.4,2.0,3.5
5,gf,11.5,9.5,13.2,7.3,2.5,2.2,4.3,3.9,3.9,2.7,4.6
6,gf,12.7,10.8,16.0,7.9,2.8,3.2,5.0,4.5,4.3,3.0,5.7
7,gf,16.2,12.2,16.7,10.2,3.6,4.6,5.3,5.8,4.9,3.0,6.0
8,gf,17.7,14.7,17.6,11.4,3.8,6.0,7.1,6.1,5.1,4.4,6.1
9,gf,19.8,17.0,20.9,12.9,4.0,8.1,7.5,6.8,6.1,5.1,7.2
10,gf,21.2,19.0,21.8,13.7,4.3,8.8,8.5,7.6,7.7,6.5,7.3
