Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,,Matches,a2c1a8d3
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,1080,12,13,1.08,32,19,62.5,6,1,5,4,33.3,2,1,1,0,50,Matches,9e17ccff
3,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,3240,36,24,0.67,97,73,75.3,27,7,2,20,55.6,0,0,0,0,,Matches,7a2e46a8
4,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches,2f965a72
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,Matches,28d596a0
6,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6,9,1.5,27,19,70.4,2,2,2,0,0,1,1,0,0,0,Matches,9f0ea33f
7,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,1997,29,29,2560,28.4,48,1.69,131,85,64.1,8,5,16,5,17.2,2,1,1,0,50,Matches,649b01d8
8,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,1080,12,28,2.33,69,45,63.8,1,0,11,0,0,3,3,0,0,0,Matches,1c0eea98
9,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,2160,24,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5,Matches,e4346678
10,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches,ad263695
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0,2,2,0,0,0,Matches,be13e5a8
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2,2,1.02,9,7,77.8,1,1,0,1,50,0,0,0,0,,Matches,0acda699
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33,57,1.73,154,100,64.3,12,7,14,8,24.2,4,2,1,1,33.3,Matches,47064058
14,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3,8,2.67,17,11,58.8,1,0,2,1,33.3,1,1,0,0,0,Matches,7b4de647
