Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,23,1997,25.4,76,3,47,0,3,17,6,3,10,0.39,4,0,0,5,1,0,Matches,f7036e1c
2,Lorenzo Pellegrini,it ITA,MFFW,Roma,it Serie A,25,1996,25.4,135,5.31,54,43,9,15,10,4,12,0.47,5,2,0,4,0,1,Matches,4a5a45c7
3,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,29,1992,30.7,133,4.33,93,0,21,15,3,1,25,0.81,17,0,5,2,1,0,Matches,e342ad68
4,Kylian Mbappé,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,33.6,172,5.12,107,8,28,14,12,3,38,1.13,19,3,10,2,4,0,Matches,42fd9c7f
5,Sadio Mané,sn SEN,FW,Liverpool,eng Premier League,29,1992,31.3,97,3.1,67,0,5,14,8,3,13,0.42,7,0,1,4,1,0,Matches,c691bfe2
6,João Pedro,it ITA,FW,Cagliari,it Serie A,29,1992,36.9,80,2.17,51,0,4,14,7,4,7,0.19,5,0,1,0,1,0,Matches,81255c03
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0,Matches,f586779e
8,Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,104,3.18,67,1,13,12,9,2,15,0.46,10,0,1,3,1,0,Matches,8d78e732
9,Lucas Paquetá,br BRA,MFFW,Lyon,fr Ligue 1,23,1997,30,117,3.9,76,2,14,12,6,7,14,0.47,10,0,0,3,1,0,Matches,9b6f7fd5
10,Gaëtan Laborde,fr FRA,FW,Rennes,fr Ligue 1,27,1994,30.3,73,2.41,55,1,2,12,1,2,18,0.59,14,0,1,3,0,0,Matches,7cdda3bf
11,João Cancelo,pt POR,DF,Manchester City,eng Premier League,27,1994,35.9,103,2.87,82,0,7,12,1,1,16,0.45,11,0,1,3,0,1,Matches,bd6351cd
12,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,34.7,71,2.05,47,1,1,11,9,2,9,0.26,6,0,0,1,1,1,Matches,6265208f
13,Armand Lauriente,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,27.5,85,3.09,52,5,8,11,6,3,7,0.25,3,0,2,2,0,0,Matches,2d22cea7
14,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,28,1993,35.9,117,3.26,86,2,10,11,6,2,21,0.58,17,0,1,3,0,0,Matches,21a66f6a
15,Olivier Giroud,fr FRA,FW,Milan,it Serie A,34,1986,21,50,2.38,31,0,2,11,4,2,6,0.29,4,0,0,2,0,0,Matches,16ceb862
16,Duván Zapata,co COL,FW,Atalanta,it Serie A,30,1991,19.1,79,4.13,55,1,10,11,1,1,8,0.42,6,0,1,1,0,0,Matches,d3de9af0
17,Christopher Nkunku,fr FRA,FWMF,RB Leipzig,de Bundesliga,23,1997,30.3,134,4.43,84,9,15,10,13,3,28,0.93,18,0,3,2,4,1,Matches,7c56da38
18,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33,102,3.09,65,0,13,10,8,6,17,0.51,9,0,1,4,2,1,Matches,ac05f970
19,Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,26,1995,34.4,110,3.19,84,2,5,10,7,2,15,0.44,14,0,0,1,0,0,Matches,4e6dbac4
20,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,25,1996,23.1,49,2.12,31,0,5,10,3,0,16,0.69,10,0,3,1,2,0,Matches,5d4f7d61
21,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,30,1991,25.4,113,4.44,78,19,4,10,1,1,16,0.63,9,3,0,4,0,0,Matches,2f557579
22,Nicolás González,ar ARG,FW,Fiorentina,it Serie A,23,1998,26.2,89,3.4,54,1,4,9,19,2,14,0.53,5,0,0,1,7,1,Matches,2374aaca
23,Ivan Toney,eng ENG,FW,Brentford,eng Premier League,25,1996,32.3,80,2.48,53,1,4,9,11,2,10,0.31,6,0,1,0,3,0,Matches,e09f279b
24,Lionel Messi,ar ARG,FWMF,Paris S-G,fr Ligue 1,34,1987,23.9,144,6.02,103,8,15,9,7,2,24,1,15,2,4,2,0,1,Matches,d70ce98e
25,Flavien Tait,fr FRA,MF,Rennes,fr Ligue 1,28,1993,23.6,84,3.56,60,0,4,9,6,5,10,0.42,7,0,1,0,1,1,Matches,a0f9b535
26,Raphinha,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,119,3.67,66,22,13,9,6,3,9,0.28,4,0,2,0,2,1,Matches,3423f250
27,Anthony Modeste,fr FRA,FW,Köln,de Bundesliga,33,1988,29,39,1.35,24,0,1,9,5,0,5,0.17,1,0,1,2,1,0,Matches,34e4343c
28,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,23,1998,27.8,102,3.67,74,3,9,9,4,3,6,0.22,5,0,0,1,0,0,Matches,a5db0bec
29,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,47,2.04,29,0,4,9,4,1,15,0.65,9,0,1,4,1,0,Matches,3effaa34
30,Erling Haaland,no NOR,FW,Dortmund,de Bundesliga,21,2000,21.2,55,2.59,39,0,4,9,3,0,14,0.66,9,0,2,2,1,0,Matches,1f44ac21
31,Vincenzo Grifo,it ITA,MFFW,Freiburg,de Bundesliga,28,1993,30.8,130,4.22,69,46,3,9,3,0,20,0.65,12,7,0,0,1,0,Matches,54e4866f
32,Walace,br BRA,MF,Udinese,it Serie A,26,1995,33,66,2,50,0,2,9,2,3,3,0.09,2,0,0,1,0,0,Matches,26db8853
33,Leroy Sané,de GER,FWMF,Bayern Munich,de Bundesliga,25,1996,22,99,4.51,72,9,5,9,2,2,12,0.55,9,0,0,2,0,1,Matches,2b114be3
34,Ciro Immobile,it ITA,FW,Lazio,it Serie A,31,1990,30.1,70,2.32,53,0,4,9,2,2,14,0.46,7,0,3,4,0,0,Matches,4431aed2
35,James Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24,1996,27.3,100,3.66,56,12,9,8,12,3,19,0.7,13,1,1,1,2,1,Matches,ee38d9c5
36,Nicolò Zaniolo,it ITA,FW,Roma,it Serie A,22,1999,21.9,81,3.7,47,3,11,8,10,2,9,0.41,3,0,1,1,4,0,Matches,9907b1c8
37,Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23,1997,32.9,93,2.83,65,1,7,8,8,4,14,0.43,10,0,1,1,2,0,Matches,6191093d
38,Emmanuel Dennis,ng NGA,FWMF,Watford,eng Premier League,23,1997,28.7,91,3.17,54,2,17,8,8,2,12,0.42,7,0,1,2,1,1,Matches,2c44a35d
39,Wilfried Zaha,ci CIV,FW,Crystal Palace,eng Premier League,28,1992,30.7,104,3.39,73,0,14,8,8,1,12,0.39,6,0,3,2,1,0,Matches,b2bc3b1f
40,Amine Gouiri,fr FRA,FWMF,Nice,fr Ligue 1,21,2000,30.6,122,3.99,69,22,15,8,7,1,14,0.46,13,0,0,0,1,0,Matches,aad56ca3
41,Martin Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,24,1997,30.9,99,3.21,72,0,6,8,6,7,17,0.55,13,0,1,1,2,0,Matches,5148dcc5
42,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,28.4,64,2.25,44,0,3,8,6,3,6,0.21,4,0,0,1,1,0,Matches,c17bfb65
43,Son Heung-min,kr KOR,FWMF,Tottenham,eng Premier League,29,1992,33.4,129,3.86,75,35,4,8,6,1,15,0.45,8,4,0,0,3,0,Matches,92e7e919
44,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,18.9,75,3.97,40,19,2,8,6,0,4,0.21,3,1,0,0,0,0,Matches,cac2537b
45,Andrej Kramarić,hr CRO,FWMF,Hoffenheim,de Bundesliga,30,1991,30.1,84,2.79,61,6,3,8,5,1,11,0.37,11,0,0,0,0,0,Matches,603cb947
46,Davide Zappacosta,it ITA,DF,Atalanta,it Serie A,29,1992,26.1,77,2.96,52,2,6,8,4,5,10,0.38,7,0,1,1,1,0,Matches,7fe90ccd
