Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
1,Alisson,br BRA,GK,Liverpool,28,1992,36,24,0,0,4,1,27.4,0.28,+4.4,+0.12,187,345,54.2,1189,195,22.5,29.9,171,45.6,40,221,21,9.5,63,1.75,18.1,Matches,7a2e46a8
2,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,1,0,0,0,0,1.2,0.39,+0.2,+0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,Matches,2f965a72
3,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,2,0,0,1,0,3.3,0.26,+1.3,+0.34,16,39,41,118,28,28,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2,Matches,28d596a0
4,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,28,3,1,4,2,22.9,0.3,-3.1,-0.26,89,226,39.4,270,44,60.7,47.4,87,71.3,52.7,108,3,2.8,8,0.67,13.1,Matches,1c0eea98
5,Asmir Begović,ba BIH,GK,Everton,34,1987,3,8,1,0,3,1,5.5,0.27,-1.5,-0.5,21,68,30.9,53,4,79.2,54.2,31,83.9,58.1,23,3,13,0,0,12.9,Matches,7b4de647
6,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,13,0,1,1,2,11.1,0.37,+0.1,+0.01,33,104,31.7,213,35,32.4,31.9,66,53,43.7,82,5,6.1,6,0.71,13.6,Matches,cc70a1d5
7,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,5,0,0,1,0,4.3,0.4,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2,21.7,Matches,a179d516
8,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,15,2,0,1,1,11,0.25,-3,-0.38,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.5,14.8,Matches,cde3309f
9,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,35,1,0,7,1,38.1,0.36,+4.1,+0.16,222,524,42.4,608,86,50,41.1,237,92.8,64.8,211,17,8.1,9,0.35,12.7,Matches,3a949a25
10,Ederson,br BRA,GK,Manchester City,27,1993,37,26,1,0,1,0,24.8,0.29,-1.2,-0.03,155,262,59.2,951,151,24,30,138,24.6,31.6,181,16,8.8,34,0.92,17.2,Matches,3bb7b8b4
11,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,50,2,1,11,2,52.8,0.32,+4.8,+0.13,241,602,40,726,145,55.8,44.1,280,70.4,52.9,344,14,4.1,9,0.24,11.8,Matches,9328b835
12,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,24,1,0,5,2,25.2,0.36,+3.2,+0.27,82,247,33.2,417,56,48,38.6,83,56.6,41,123,7,5.7,10,0.83,14.3,Matches,f127d782
13,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,35,2,0,5,2,31.8,0.31,-1.2,-0.06,123,358,34.4,455,68,54.9,44.8,141,76.6,54.3,176,18,10.2,14,0.74,13.8,Matches,c3e39f12
14,Ben Foster,eng ENG,GK,Watford,38,1983,26,49,3,0,4,1,43.4,0.36,-4.6,-0.18,227,666,34.1,644,70,71.3,51.4,225,92,65.2,265,16,6,24,0.92,15.1,Matches,d0b3ceb9
